token_id,ensembl_id,gene_name,gene_median
0,<pad>,<pad>,
1,<mask>,<mask>,
2,ENSG00000274621,MIR6867,
3,ENSG00000099812,MISP,1.13
4,ENSG00000159423,ALDH4A1,0.77
5,ENSG00000277556,OR13C5,0.61
6,ENSG00000119844,AFTPH,1.47
7,ENSG00000140451,PIF1,0.98
8,ENSG00000156256,USP16,1.43
9,ENSG00000159210,SNF8,1.64
10,ENSG00000229009,TMPRSS11GP,
11,ENSG00000283556,MIR376B,
12,ENSG00000284542,MIR3614,
13,ENSG00000128656,CHN1,2.11
14,ENSG00000226650,KIF4B,0.71
15,ENSG00000163935,SFMBT1,1.39
16,ENSG00000290464,SUGT1P3,
17,ENSG00000181616,OR52H1,0.75
18,ENSG00000234736,FAM170B-AS1,0.91
19,ENSG00000274443,C8orf89,0.79
20,ENSG00000253309,SERPINE3,1.07
21,ENSG00000204887,KRTAP1-4,
22,ENSG00000196923,PDLIM7,1.56
23,ENSG00000284247,MIR2682,
24,ENSG00000180846,CSNK1G2-AS1,0.99
25,ENSG00000013374,NUB1,1.24
26,ENSG00000149418,ST14,1.61
27,ENSG00000112561,TFEB,1.37
28,ENSG00000158793,NIT1,0.84
29,ENSG00000168517,HEXIM2,0.71
30,ENSG00000166402,TUB,1.03
31,ENSG00000112984,KIF20A,0.74
32,ENSG00000225362,CT62,0.55
33,ENSG00000101331,CCM2L,1.03
34,ENSG00000126460,PRRG2,0.68
35,ENSG00000262655,SPON1,2.0
36,ENSG00000180113,TDRD6,0.98
37,ENSG00000183828,NUDT14,1.02
38,ENSG00000237232,ZNF295-AS1,0.86
39,ENSG00000103479,RBL2,1.54
40,ENSG00000107295,SH3GL2,2.33
41,ENSG00000241648,CADM2-AS2,1.2
42,ENSG00000268646,,2.93
43,ENSG00000274089,PRIMA1,2.14
44,ENSG00000188782,CATSPER4,0.59
45,ENSG00000274582,SNORA16A,
46,ENSG00000283933,MIR6878,
47,ENSG00000273889,FAM83H,0.67
48,ENSG00000184677,ZBTB40,0.99
49,ENSG00000197818,SLC9A8,1.18
50,ENSG00000108825,PTGES3L-AARSD1,
51,ENSG00000111885,MAN1A1,2.41
52,ENSG00000198795,ZNF521,2.4
53,ENSG00000136854,STXBP1,1.51
54,ENSG00000170791,CHCHD7,1.06
55,ENSG00000082512,TRAF5,1.31
56,ENSG00000198858,R3HDM4,1.06
57,ENSG00000107447,DNTT,6.76
58,ENSG00000162775,RBM15,0.87
59,ENSG00000266256,LINC00683,0.86
60,ENSG00000262749,KRTAP9-3,1.115
61,ENSG00000162383,SLC1A7,2.77
62,ENSG00000234741,GAS5,4.48
63,ENSG00000173467,AGR3,3.36
64,ENSG00000151612,ZNF827,1.57
65,ENSG00000250424,,3.25
66,ENSG00000180777,ANKRD30B,1.12
67,ENSG00000221630,MIR1179,
68,ENSG00000159374,M1AP,0.65
69,ENSG00000221909,FAM200A,0.86
70,ENSG00000244094,SPRR2F,2.64
71,ENSG00000284536,MIR17,
72,ENSG00000171453,POLR1C,1.01
73,ENSG00000183726,TMEM50A,1.95
74,ENSG00000097007,ABL1,1.73
75,ENSG00000148334,PTGES2,1.02
76,ENSG00000285147,C8orf74,0.75
77,ENSG00000283348,PRAMEF25,1.54
78,ENSG00000279873,LINC01126,0.96
79,ENSG00000179335,CLK3,1.0
80,ENSG00000186230,ZNF749,0.78
81,ENSG00000151304,SRFBP1,1.14
82,ENSG00000181785,OR5AS1,0.93
83,ENSG00000187123,LYPD6,1.05
84,ENSG00000285507,SPAG11A,0.89
85,ENSG00000276070,CCL4L2,6.2
86,ENSG00000168961,LGALS9,1.67
87,ENSG00000179673,RPRML,0.86
88,ENSG00000101935,AMMECR1,1.17
89,ENSG00000283507,MIR1302-1,
90,ENSG00000137936,BCAR3,1.35
91,ENSG00000143543,JTB,2.15
92,ENSG00000196689,TRPV1,0.93
93,ENSG00000106609,TMEM248,1.2
94,ENSG00000284239,MIR1539,
95,ENSG00000131482,G6PC1,6.75
96,ENSG00000164951,PDP1,1.01
97,ENSG00000207579,MIR662,
98,ENSG00000251620,STPG2-AS1,0.95
99,ENSG00000121797,CCRL2,1.28
100,ENSG00000185658,BRWD1,2.0
101,ENSG00000284482,MIR4680,
102,ENSG00000285479,CACNA1C,3.3
103,ENSG00000116985,BMP8B,0.91
104,ENSG00000186517,ARHGAP30,2.09
105,ENSG00000066027,PPP2R5A,1.46
106,ENSG00000197557,TTC30A,0.69
107,ENSG00000173914,RBM4B,0.95
108,ENSG00000283734,MIR4785,
109,ENSG00000141194,OR4D1,1.46
110,ENSG00000124134,KCNS1,0.93
111,ENSG00000114455,HHLA2,2.94
112,ENSG00000197584,KCNMB2,2.77
113,ENSG00000185024,BRF1,0.99
114,ENSG00000126581,BECN1,1.02
115,ENSG00000108654,DDX5,5.77
116,ENSG00000178028,DMAP1,0.91
